wagnum,ts_id,target
2,3,38958.0
3,2,57253.0
5,4,9734.0
6,1,2604.0
8,4,17272.0
9,1,5293.0
10,1,29074.0
11,1,47996.0
12,1,38365.0
14,4,7918.0
15,6,27123.0
16,2,2877.0
17,1,35022.0
18,1,34235.0
19,1,1199.0
20,1,19121.0
21,1,15616.0
22,1,28885.0
24,1,38009.0
25,1,30979.0
26,2,51044.0
27,2,10709.0
28,1,8066.0
29,1,8600.0
31,2,7568.0
32,1,15470.0
35,1,13630.0
36,2,4445.0
37,1,35112.0
38,2,20903.0
39,3,18172.0
41,1,11468.0
42,1,34264.0
44,1,29391.0
45,1,18249.0
46,1,15572.0
47,3,34938.0
48,1,12674.0
50,1,16166.0
51,2,9680.0
53,1,21989.0
54,1,13942.0
55,1,8863.0
56,3,8573.0
57,1,11512.0
58,1,5134.0
59,1,6904.0
60,1,30209.0
62,2,54121.0
63,3,62561.0
64,4,4977.0
65,2,41199.0
66,2,35659.0
67,5,7640.0
68,2,32727.0
72,3,93597.0
73,2,13926.0
74,4,28532.0
76,3,14969.0
76,4,23546.0
77,1,5497.0
78,1,14905.0
80,2,54633.0
81,5,14255.0
83,2,65155.0
84,2,3097.0
86,3,16452.0
87,3,17274.0
88,2,21234.0
89,4,42131.0
90,3,14418.0
91,8,2641.0
92,6,6120.0
93,2,61595.0
94,4,872.0
96,3,11185.0
98,2,47130.0
99,2,26620.0
100,4,13209.0
101,4,48511.0
103,4,13976.0
104,4,30005.0
105,1,4192.0
110,5,15819.0
111,3,21542.0
112,4,25448.0
113,2,73476.0
114,2,11095.0
116,3,71152.0
117,2,20299.0
119,3,13356.0
121,6,11129.0
122,2,21897.0
123,4,14436.0
124,3,80992.0
125,1,17458.0
127,2,18096.0
128,2,19331.0
129,1,14599.0
130,1,23340.0
131,1,39626.0
133,2,35792.0
134,1,5966.0
135,1,27466.0
136,1,38996.0
138,2,8954.0
139,1,47010.0
140,1,34642.0
141,1,45061.0
143,1,2379.0
144,1,25807.0
146,1,17045.0
147,1,18578.0
149,1,16663.0
150,1,5174.0
151,1,9742.0
152,1,52618.0
153,1,14265.0
154,1,36403.0
155,1,15614.0
157,1,24524.0
158,2,13067.0
159,1,17579.0
160,2,11726.0
161,1,15743.0
162,1,12630.0
164,4,37917.0
166,7,25425.0
167,3,3282.0
168,6,14806.0
169,3,14379.0
170,6,9352.0
172,2,4056.0
173,5,6543.0
175,1,13108.0
176,3,12925.0
177,2,13424.0
180,1,16077.0
181,3,18314.0
182,2,6125.0
183,4,20196.0
185,3,7014.0
186,2,12618.0
187,3,13382.0
188,3,2834.0
189,2,16405.0
190,2,5782.0
191,3,13425.0
192,2,25971.0
193,2,3395.0
195,1,19697.0
199,1,20272.0
200,1,20504.0
201,1,37724.0
203,2,7559.0
204,1,17406.0
205,1,6557.0
206,2,8618.0
207,1,5952.0
209,2,8663.0
211,2,9363.0
212,1,21112.0
213,2,19197.0
216,1,18688.0
218,1,14786.0
219,2,11659.0
220,2,12270.0
221,1,5198.0
222,1,20058.0
223,2,37394.0
224,2,16871.0
225,1,19292.0
226,1,28259.0
227,2,7586.0
228,2,21099.0
230,2,16051.0
232,2,12023.0
233,1,19229.0
234,4,9144.0
235,2,40223.0
236,1,11526.0
238,2,24909.0
241,3,14433.0
242,2,5627.0
243,2,6685.0
244,1,19782.0
245,2,37076.0
247,1,3618.0
248,2,31602.0
251,1,6426.0
252,2,32820.0
253,2,3402.0
254,1,19606.0
255,2,10401.0
256,1,46248.0
257,1,2046.0
258,3,8566.0
263,5,8052.0
265,2,12996.0
267,2,21305.0
268,1,15812.0
269,2,6460.0
270,2,3097.0
273,1,7256.0
274,1,8883.0
279,1,7348.0
280,1,26840.0
282,2,11205.0
283,1,4418.0
284,3,8639.0
285,1,11850.0
286,2,14111.0
288,1,14394.0
289,1,4767.0
290,2,20044.0
291,1,13342.0
292,1,31621.0
293,1,8361.0
294,1,4211.0
295,2,15469.0
296,4,5386.0
297,1,7058.0
298,1,20016.0
299,1,24028.0
300,1,7149.0
301,2,11926.0
303,1,24880.0
304,2,16217.0
305,2,2106.0
308,1,15844.0
313,1,43583.0
316,1,19210.0
317,2,16763.0
318,3,7218.0
319,2,8305.0
323,1,1756.0
325,2,32267.0
326,2,35561.0
327,2,15143.0
329,1,32114.0
330,2,14645.0
331,2,6089.0
332,2,9558.0
333,1,14763.0
334,1,21903.0
335,1,4890.0
336,1,19853.0
337,1,37385.0
338,1,3458.0
343,2,27571.0
344,2,22894.0
345,2,29202.0
346,2,7985.0
347,3,44576.0
348,3,26078.0
350,3,12074.0
351,4,19393.0
353,2,68085.0
354,3,14891.0
355,2,31476.0
356,2,38866.0
357,3,6752.0
358,4,7784.0
359,6,5820.0
360,3,32619.0
361,2,36077.0
362,2,36160.0
363,4,8532.0
364,3,23679.0
365,4,9593.0
366,2,36240.0
368,3,11297.0
369,2,55915.0
370,3,20409.0
371,5,24465.0
373,3,51811.0
377,3,45922.0
378,2,32566.0
379,3,2586.0
380,3,40554.0
381,4,33218.0
382,2,47086.0
384,2,64035.0
385,3,12151.0
386,2,27745.0
387,4,43908.0
388,3,99421.0
389,4,3684.0
390,3,5803.0
391,4,13706.0
392,2,46696.0
393,2,36516.0
395,5,43805.0
396,4,14879.0
398,5,23966.0
399,6,2853.0
400,4,17336.0
402,3,26241.0
403,3,6132.0
404,2,21011.0
405,4,21950.0
406,3,5467.0
408,3,7356.0
409,2,7785.0
410,3,32985.0
411,3,22639.0
412,2,23773.0
413,2,15687.0
415,4,4957.0
418,2,4474.0
419,3,7873.0
420,3,19892.0
421,3,25097.0
422,3,27043.0
423,3,32646.0
424,3,17404.0
425,3,19219.0
430,2,12960.0
431,3,7931.0
432,2,46468.0
433,2,2480.0
434,3,33660.0
437,3,17587.0
438,3,20267.0
440,3,12541.0
441,4,51909.0
443,3,10879.0
444,3,9031.0
446,3,16695.0
447,6,23689.0
448,3,24742.0
449,2,18175.0
450,2,15742.0
451,3,13715.0
453,3,33638.0
454,3,52558.0
456,3,15086.0
457,4,18323.0
458,2,20762.0
459,3,7675.0
460,5,13401.0
461,2,10724.0
462,4,16055.0
464,3,24493.0
465,2,19918.0
466,1,29977.0
470,4,9729.0
471,2,38711.0
475,3,45808.0
476,4,33657.0
478,3,18923.0
480,2,35478.0
481,3,28087.0
482,2,36509.0
483,2,34029.0
484,2,25342.0
485,2,24310.0
486,3,34696.0
487,2,24948.0
489,3,3859.0
490,2,21728.0
491,2,7480.0
492,3,5668.0
493,3,13542.0
494,2,57799.0
497,3,19969.0
499,2,4650.0
500,3,47936.0
501,2,37798.0
503,4,28023.0
504,4,1580.0
505,2,8722.0
507,2,14390.0
508,2,6491.0
510,1,16192.0
511,4,13445.0
512,2,12986.0
515,2,20183.0
516,4,30225.0
517,2,25099.0
519,2,8500.0
521,5,3286.0
522,2,24244.0
523,5,5984.0
524,5,17674.0
525,3,36152.0
526,3,8032.0
526,7,22311.0
527,3,109629.0
529,3,19022.0
530,4,84962.0
531,6,74813.0
533,2,23416.0
535,4,42494.0
536,4,64777.0
537,1,41895.0
539,3,73947.0
540,2,50877.0
541,3,19841.0
542,2,34457.0
543,3,9499.0
543,4,29403.0
544,2,64820.0
546,5,19321.0
547,2,24157.0
548,4,13934.0
550,4,28489.0
551,1,20063.0
552,1,26391.0
553,2,35231.0
553,4,26450.0
554,4,5286.0
555,4,25953.0
556,5,17920.0
557,4,28811.0
559,3,16174.0
560,4,10853.0
561,3,62337.0
562,4,30399.0
563,3,16695.0
564,2,33790.0
565,3,55413.0
566,2,30188.0
567,4,45560.0
568,5,33132.0
569,3,27617.0
570,5,25618.0
571,4,31184.0
571,5,4133.0
572,2,16326.0
572,3,25926.0
576,5,43504.0
578,3,20399.0
579,4,17904.0
580,1,74827.0
580,4,13232.0
581,5,37845.0
581,6,29831.0
583,4,46127.0
584,1,41326.0
585,4,44328.0
586,4,23695.0
587,2,75404.0
588,2,23691.0
588,4,25434.0
589,3,42830.0
590,4,73456.0
591,2,44656.0
591,4,10081.0
594,3,54517.0
595,3,3705.0
596,3,30215.0
597,5,26052.0
598,4,51356.0
599,3,77506.0
600,8,37596.0
602,4,117145.0
603,6,24293.0
605,3,39283.0
610,4,53834.0
611,6,22151.0
612,2,37485.0
613,4,20950.0
