price,m2,beds,bath,laundry,pets,housing_type,parking,hood_district
3450,8.19928962045195,2.0,2.0,(b) on-site,(d) no pets,(c) multi,(b) protected,8.0
1775,2.7618659774153937,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,2.0
2195,3.486855796486934,1.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,8.0
2950,7.33620650250964,2.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,9.0
3150,6.904664943538484,2.0,1.0,(b) on-site,(d) no pets,(a) single,(d) no parking,9.0
4000,9.062372738394261,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,9.0
2999,6.473123384567329,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,2.0
5200,12.514705210163502,3.0,2.0,(b) on-site,(a) both,(c) multi,(b) protected,5.0
3699,9.493914297365416,3.0,1.0,(c) no laundry,(a) both,(c) multi,(d) no parking,8.0
3898,9.47665263500657,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,7.0
2900,8.19928962045195,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,1.0
3200,6.904664943538484,3.0,2.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,8.0
1890,4.746957148682708,1.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,7.0
3300,8.242443776349067,1.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,6.0
3600,5.437423643036556,2.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
1800,4.315415589711552,0.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,8.0
3000,6.257352605081751,1.0,1.5,(b) on-site,(d) no pets,(c) multi,(b) protected,8.0
3549,6.818356631744254,1.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
2800,8.371906244040412,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
2795,5.610040266625019,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,7.0
3595,10.400151571204841,3.0,2.0,(b) on-site,(d) no pets,(c) multi,(b) protected,1.0
4500,9.83914754454234,4.0,2.0,(a) in-unit,(a) both,(c) multi,(d) no parking,7.0
2750,5.178498707653863,1.0,1.0,(b) on-site,(c) cats,(c) multi,(b) protected,5.0
3000,6.904664943538484,1.0,1.0,(c) no laundry,(c) cats,(c) multi,(c) off-street,1.0
4195,7.767748061480795,2.0,2.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,8.0
3500,8.630831179423105,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
2595,5.610040266625019,1.0,1.0,(b) on-site,(c) cats,(c) multi,(b) protected,1.0
5000,12.083163651192347,3.0,3.5,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
4500,11.220080533250037,2.0,2.0,(b) on-site,(a) both,(c) multi,(b) protected,8.0
2950,8.630831179423105,2.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,5.0
3184,6.076105150313865,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2650,7.1204357230240625,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,1.0
1850,4.315415589711552,1.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,8.0
4500,8.415060399937529,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,7.0
1895,3.711257407151935,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
3370,6.904664943538484,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,8.0
3395,7.767748061480795,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,8.0
3200,6.904664943538484,2.0,1.0,(a) in-unit,(c) cats,(c) multi,(d) no parking,9.0
3400,5.7653952278546345,1.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,8.0
3250,7.767748061480795,2.0,1.0,(c) no laundry,(d) no pets,(c) multi,(b) protected,5.0
3975,9.493914297365416,2.0,2.5,(a) in-unit,(d) no pets,(c) multi,(d) no parking,9.0
2790,4.729695486323862,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
3995,7.8367947109161795,2.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2418,3.7198882383313583,0.0,1.0,(a) in-unit,(d) no pets,(c) multi,(c) off-street,9.0
2339,4.41898556386463,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2600,5.610040266625019,1.0,1.0,(c) no laundry,(a) both,(c) multi,(d) no parking,9.0
2495,7.767748061480795,1.0,1.0,(b) on-site,(c) cats,(c) multi,(d) no parking,2.0
1400,2.5892493538269314,0.0,1.0,(a) in-unit,(d) no pets,(c) multi,(c) off-street,10.0
3100,5.610040266625019,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,8.0
4305,11.78108455991254,3.0,2.5,(a) in-unit,(a) both,(c) multi,(d) no parking,8.0
1290,2.0713994830615454,1.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,1.0
3951,6.568062527540984,2.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2795,5.730871903136942,1.0,1.0,(b) on-site,(c) cats,(c) multi,(d) no parking,5.0
4800,12.514705210163502,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,8.0
3850,8.33738291932272,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
2998,5.049036239962517,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2900,5.178498707653863,1.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,5.0
4200,12.083163651192347,3.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
3100,8.630831179423105,2.0,1.0,(c) no laundry,(d) no pets,(c) multi,(b) protected,2.0
4700,15.967037681932744,4.0,2.5,(b) on-site,(d) no pets,(c) multi,(b) protected,1.0
2075,4.315415589711552,0.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,7.0
3800,7.534715619636371,1.0,1.0,(a) in-unit,(b) dogs,(c) multi,(a) valet,9.0
2445,3.452332471769242,2.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,8.0
2995,6.0415818255961735,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,9.0
2956,5.558255279548479,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,2.0
4242,8.466845387014066,2.0,2.0,(a) in-unit,(a) both,(c) multi,(a) valet,9.0
5650,8.078457983940027,4.0,2.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,6.0
2986,4.341308083249822,1.0,1.0,(a) in-unit,(a) both,(c) multi,(a) valet,9.0
2404,8.907017777164645,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,10.0
5915,15.388771992911398,3.0,3.0,(a) in-unit,(a) both,(c) multi,(d) no parking,8.0
2395,6.0415818255961735,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,5.0
4800,18.17653046386506,3.0,2.5,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
3500,8.725770322396759,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
1850,3.2365616922836646,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,7.0
3300,6.904664943538484,3.0,3.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,2.0
1600,3.66810325125482,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
2698,6.904664943538484,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,1.0
1995,3.8838740307403974,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,9.0
3000,8.458214555834644,2.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,9.0
2975,7.595131437892333,2.0,1.0,(c) no laundry,(a) both,(c) multi,(d) no parking,8.0
3950,12.359350248933886,3.0,1.0,(c) no laundry,(a) both,(c) multi,(d) no parking,9.0
1950,3.8838740307403974,1.0,1.0,(c) no laundry,(d) no pets,(a) single,(c) off-street,3.0
3095,6.473123384567329,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,9.0
4400,10.072179986386763,2.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,9.0
4750,8.44958372465522,3.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2300,5.178498707653863,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,10.0
3950,13.809329887076968,3.0,1.5,(b) on-site,(d) no pets,(a) single,(b) protected,10.0
2750,8.768924478293876,1.0,1.5,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
4876,11.09061806555869,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2000,4.531186369197131,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,6.0
2900,6.257352605081751,1.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,6.0
3995,7.33620650250964,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,7.0
2450,3.8838740307403974,1.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,8.0
3400,6.473123384567329,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,6.0
3800,12.946246769134659,3.0,2.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,7.0
3500,7.33620650250964,2.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,8.0
5595,9.925455856336571,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
3700,13.809329887076968,3.0,2.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,6.0
2950,5.230283694730402,1.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,6.0
5000,10.184380791719265,2.0,2.0,(a) in-unit,(a) both,(c) multi,(a) valet,9.0
2500,5.178498707653863,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,4.0
5500,15.190262875784667,3.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,5.0
2900,6.0415818255961735,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,7.0
3700,9.062372738394261,2.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,7.0
5000,10.70223066248465,3.0,2.0,(b) on-site,(d) no pets,(c) multi,(b) protected,5.0
2200,4.315415589711552,1.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,7.0
3100,4.841896291656362,1.0,1.0,(c) no laundry,(a) both,(c) multi,(d) no parking,7.0
2137,4.142798966123091,2.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,8.0
1895,4.315415589711552,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,10.0
2100,4.315415589711552,0.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,5.0
4500,13.256956691593889,3.0,2.0,(c) no laundry,(a) both,(a) single,(b) protected,3.0
5950,18.124745476788522,3.0,2.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,9.0
2702,9.502545128544838,1.0,2.0,(b) on-site,(a) both,(c) multi,(d) no parking,9.0
4595,12.083163651192347,4.0,1.5,(a) in-unit,(d) no pets,(c) multi,(d) no parking,6.0
1250,1.726166235884621,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,2.0
3150,7.940364685069257,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,8.0
4995,12.946246769134659,3.0,2.0,(a) in-unit,(a) both,(c) multi,(c) off-street,5.0
3807,13.740283237641584,2.0,2.0,(a) in-unit,(a) both,(c) multi,(d) no parking,10.0
5700,12.946246769134659,3.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
3900,10.823062298996573,2.0,1.5,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2650,6.0415818255961735,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,4.0
2600,4.816003798118093,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,8.0
2700,7.33620650250964,2.0,1.0,(c) no laundry,(d) no pets,(c) multi,(b) protected,2.0
1950,5.178498707653863,1.0,1.0,(b) on-site,(d) no pets,(b) double,(d) no parking,2.0
4500,10.75401564956119,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,6.0
4050,10.356997415307726,3.0,1.5,(a) in-unit,(c) cats,(c) multi,(d) no parking,9.0
2750,5.411531149498287,1.0,1.0,(a) in-unit,(c) cats,(c) multi,(d) no parking,9.0
3500,6.904664943538484,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(c) off-street,7.0
3700,8.630831179423105,2.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,7.0
1695,4.315415589711552,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
3600,11.047463909661575,3.0,2.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,2.0
