,carat,cut,color,clarity,depth,table,price,length,width,height
2714,0.33,Ideal,H,SI1,61.7,55.0,564,4.43,4.46,2.74
14653,1.2,Ideal,I,VS2,62.1,57.0,5914,6.78,6.71,4.19
52760,0.62,Ideal,D,VS1,61.0,57.0,2562,5.51,5.54,3.37
48658,0.34,Good,H,VS2,63.1,56.0,537,4.41,4.46,2.8
14812,1.2,Ideal,E,SI2,62.5,55.0,5964,6.77,6.84,4.25
37498,0.53,Premium,E,SI2,62.2,57.0,984,5.2,5.16,3.22
12456,1.08,Ideal,D,SI2,60.2,57.0,5247,6.63,6.67,4.0
16738,0.41,Premium,G,SI2,61.4,58.0,611,4.75,4.8,2.93
21542,1.5,Premium,G,SI1,61.2,58.0,9645,7.34,7.44,4.52
40732,0.35,Ideal,D,VVS2,60.8,56.0,1162,4.58,4.6,2.79
29855,0.3,Ideal,D,VS2,62.3,54.0,710,4.29,4.34,2.69
44245,0.51,Premium,F,VS2,62.3,60.0,1574,5.1,5.07,3.17
45337,0.67,Ideal,G,SI1,60.4,57.0,1662,5.67,5.65,3.42
32171,0.33,Very Good,H,IF,62.9,58.0,787,4.38,4.43,2.77
38297,0.28,Good,F,VS1,58.3,58.0,487,4.33,4.35,2.53
45810,0.63,Ideal,G,SI1,62.3,58.0,1711,5.44,5.48,3.4
7896,1.0,Fair,H,VVS2,65.3,58.0,4312,6.25,6.18,4.06
46466,0.53,Ideal,H,VVS1,62.2,56.0,1775,5.16,5.2,3.22
26651,2.05,Ideal,G,SI2,59.8,59.0,16446,8.22,8.31,4.94
21545,1.02,Ideal,F,VVS1,62.4,56.0,9645,6.44,6.42,4.01
13263,1.11,Premium,F,SI1,60.1,61.0,5483,6.74,6.64,4.06
704,0.91,Fair,J,VS2,65.4,60.0,2854,6.04,6.0,3.94
12469,1.2,Very Good,G,SI2,62.5,57.0,5250,6.73,6.84,4.24
5825,0.92,Premium,H,VS2,59.6,59.0,3916,6.32,6.29,3.76
44479,0.55,Ideal,E,VS2,62.0,55.0,1596,5.24,5.28,3.26
4218,0.9,Very Good,F,SI2,62.7,59.0,3569,6.1,6.18,3.85
5083,0.9,Very Good,G,SI1,63.8,57.0,3752,6.04,6.13,3.88
43189,0.46,Ideal,G,VVS1,62.2,57.0,1393,4.93,4.98,3.08
13003,1.07,Ideal,F,SI2,61.6,57.0,5405,6.56,6.53,4.03
16692,0.3,Very Good,H,SI1,62.2,60.0,421,4.24,4.28,2.65
43611,0.34,Good,G,SI1,63.4,57.0,507,4.42,4.45,2.81
15661,1.29,Premium,I,VS2,62.2,57.0,6279,7.01,6.97,4.35
27625,2.0,Very Good,G,SI1,61.8,61.0,18524,8.0,8.09,4.97
42882,0.39,Ideal,G,VVS1,60.7,56.0,1359,4.73,4.77,2.88
12666,0.91,Very Good,F,VS1,62.4,59.0,5302,6.15,6.16,3.84
12480,0.91,Ideal,E,SI1,61.4,54.0,5252,6.26,6.24,3.84
11618,1.01,Very Good,G,SI1,62.8,56.0,5049,6.35,6.43,4.01
17145,1.01,Good,G,VVS2,63.4,55.0,6843,6.34,6.41,4.04
15939,1.0,Very Good,E,VS2,59.4,59.0,6377,6.44,6.46,3.83
37464,0.42,Ideal,G,VS1,61.4,56.0,984,4.85,4.82,2.97
14582,1.13,Premium,H,VS2,62.4,58.0,5885,6.66,6.61,4.14
15725,1.0,Ideal,G,VS1,62.9,57.0,6290,6.36,6.32,3.99
53625,0.3,Good,I,VVS1,63.1,57.0,552,4.27,4.29,2.7
85,0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45
29535,0.39,Very Good,F,SI1,60.0,57.0,704,4.76,4.8,2.86
20675,1.01,Good,F,VVS2,61.1,65.0,8956,6.38,6.42,3.91
44441,0.57,Premium,E,SI1,62.2,55.0,1590,5.36,5.31,3.32
15396,1.12,Ideal,E,SI2,61.6,56.0,6168,6.69,6.71,4.13
30737,0.43,Good,E,SI1,63.1,56.0,739,4.8,4.83,3.04
14296,1.3,Premium,F,SI2,61.6,58.0,5788,7.07,6.92,4.33
28765,0.31,Ideal,E,VS2,62.0,55.0,680,4.34,4.37,2.7
30174,0.38,Ideal,G,VS2,59.5,58.0,721,4.75,4.77,2.83
3650,0.91,Very Good,E,SI2,60.0,60.0,3438,6.23,6.28,3.75
33942,0.31,Ideal,H,SI1,61.1,57.0,464,4.38,4.42,2.69
53728,0.82,Premium,H,SI1,59.9,57.0,2721,6.11,6.07,3.65
11546,1.01,Ideal,H,SI1,62.3,55.0,5029,6.46,6.45,4.02
18268,1.22,Ideal,H,VS1,62.3,55.0,7418,6.8,6.84,4.25
28643,0.33,Premium,I,SI1,60.4,59.0,434,4.5,4.54,2.73
4361,0.9,Good,D,VS2,57.9,62.0,3604,6.33,6.24,3.64
31173,0.4,Very Good,F,SI1,62.1,60.0,756,4.66,4.7,2.91
36903,0.48,Premium,G,SI1,59.7,59.0,960,5.07,5.04,3.02
31038,0.34,Ideal,D,VS1,60.7,57.0,749,4.51,4.55,2.75
9960,1.07,Premium,F,SI2,62.0,58.0,4700,6.57,6.52,4.06
10003,1.22,Fair,F,SI2,65.0,56.0,4705,6.71,6.8,4.39
1298,0.71,Very Good,E,VS2,59.6,60.0,2954,5.8,5.85,3.47
5654,0.9,Premium,F,SI1,62.5,62.0,3881,6.11,6.08,3.81
15376,0.35,Premium,I,SI1,62.5,58.0,606,4.53,4.49,2.82
